flow_seq,flow_idx,ts,outer_index,inner_index,response_long0_dec,response_long0_hex,response_long1_dec,response_long1_hex,obfuscation_flag,payload_length,response_opcode_dec,response_opcode_hex,response_opcode_signed,fragment_or_cache_flag,dispatch_handler,dispatch_request_minus_7000,dispatch_request_minus_8000,payload_hex_prefix,payload_ascii_preview
4,35,2026-07-05 02:16:22.488,0,0,6264113312098633540,0x56ee99de606f4744,1869809170732068981,0x19f2e588bb40b075,0,934,33072,0x8130,-32464,0,1232:LscriptPages/game/m0;->s(Ljava/lang/String;)V,0x1130 (unnamed)@scriptPages/game/m0->r,0x0130,000b0000000000002714000ce7a78de6a48de68a80e69caf010000000000002716000fe5bbbae980a0e5bc93e585b5e890a5010000000000002723000ce4ba94,........'......................'................…
4,35,2026-07-05 02:16:22.488,1,0,6264113312098633540,0x56ee99de606f4744,1869809170732068983,0x19f2e588bb40b077,0,1394,57856,0xe200,-7680,0,1c34:LscriptPages/gameHD/a;->h(Ljava/lang/String;)V,0x7200,0x6200 houyedu@scriptPages/gameHD/a->f,0000000000000e772107ea0705031f02040500040300253530303030e9939ce992b1efbc8c313530303030e7b2aee9a39fefbc8c3230e78e89e79fb30007003f,.......w!.............%50000.........150000.....…
5,39,2026-07-05 02:16:35.268,0,0,6264113312098633540,0x56ee99de606f4744,1869809184144404934,0x19f2e58bdab0b1c6,0,618,33028,0x8104,-32508,0,0434:Lo/a;->q7(Ljava/lang/String;)V,0x1104 (unnamed)@o/a->M6,0x0104,00000000000000000000000000000424002b000800010000000000000000006e0001000000000000000000400003000000000000000000420003000000000000,...............$.+.............n...........@....…
6,40,2026-07-05 02:16:37.822,0,0,6264113312098633540,0x56ee99de606f4744,1869809186804642276,0x19f2e58c7940b1e4,0,222,41312,0xa160,-24224,0,252a:LscriptPages/gameHD/i;->p(Ljava/lang/String;)V,0x3160,0x2160,01000400010c00000000000000bd02d0ffffffff0064000000000000000000a9023fffffffff001e012c00000000000000aa0240ffffffff00c8000000000000,".....................d...........?.......,......…"
7,41,2026-07-05 02:16:42.491,0,0,6264113312098633540,0x56ee99de606f4744,1869809191687860810,0x19f2e58d9c50b24a,0,183,41232,0xa110,-24304,0,24ac:La0/a;->D1(Ljava/lang/String;)V,0x3110 REQ_HD_LIVEPACKET@scriptPages/PageMain->runLivePacket,0x2110,01000000000008a39c00000000000f49bb0000034b000002f20000000000000424000000000000000004000010edcadb020500000000056be74706000000000a,...............I....K...........$...............…
8,43,2026-07-05 02:16:52.613,0,0,6264113312098633540,0x56ee99de606f4744,1869809202309936054,0x19f2e5901570b3b6,0,132,41312,0xa160,-24224,0,252a:LscriptPages/gameHD/i;->p(Ljava/lang/String;)V,0x3160,0x2160,07000100010700000000000000290057ffffffff00c80000000000000000002a0056ffffffff03200000000000000000002b0055ffffffff0bb8000000000000,.............).W...............*.V..... ........…
9,44,2026-07-05 02:17:01.942,0,0,6264113312098633540,0x56ee99de606f4744,1869809212148724884,0x19f2e5925fe0b494,0,222,41312,0xa160,-24224,0,252a:LscriptPages/gameHD/i;->p(Ljava/lang/String;)V,0x3160,0x2160,05000200010c00000000000000780164ffffffff012c000000000000000000790165ffffffff01e0000000000000000000060016ffffffff0002001400000000,".............x.d.....,.........y.e..............…"
10,45,2026-07-05 02:17:02.716,0,0,6264113312098633540,0x56ee99de606f4744,1869809212904748195,0x19f2e5928cf0b4a3,0,183,41232,0xa110,-24304,0,24ac:La0/a;->D1(Ljava/lang/String;)V,0x3110 REQ_HD_LIVEPACKET@scriptPages/PageMain->runLivePacket,0x2110,01000000000008a3a300000000000f49c10000034b000002f20000000000000424000000000000000004000010ed7bd2020500000000056be75306000000000a,...............I....K...........$.............{.…
11,46,2026-07-05 02:17:06.156,0,0,6264113312098633540,0x56ee99de606f4744,1869809216584201475,0x19f2e5936840b503,0,132,41312,0xa160,-24224,0,252a:LscriptPages/gameHD/i;->p(Ljava/lang/String;)V,0x3160,0x2160,07000100010700000000000000290057ffffffff00c80000000000000000002a0056ffffffff03200000000000000000002b0055ffffffff0bb8000000000000,.............).W...............*.V..... ........…
12,47,2026-07-05 02:17:15.819,0,0,6264113312098633540,0x56ee99de606f4744,1869809226640045500,0x19f2e595bfa0b5bc,0,673,33026,0x8102,-32510,0,046a:LscriptPages/game/q;->k(Ljava/lang/String;)V,0x1102 buyMallGood@scriptPages/game/q->B1,0x0102,f60024e8b4ade4b9b0e5a4b1e8b4a5efbc8ce8b4ade4b9b0e695b0e9878fe99499e8afafefbc8100000000000000000000000000000424002b00080001000000,..$.............................................…
13,49,2026-07-05 02:17:19.090,0,0,6264113312098633540,0x56ee99de606f4744,1869809230115026410,0x19f2e5968ec0b5ea,0,618,33028,0x8104,-32508,0,0434:Lo/a;->q7(Ljava/lang/String;)V,0x1104 (unnamed)@o/a->M6,0x0104,00000000000000000000000000000424002b000800010000000000000000006e0001000000000000000000400003000000000000000000420003000000000000,...............$.+.............n...........@....…
14,50,2026-07-05 02:17:20.252,0,0,6264113312098633540,0x56ee99de606f4744,1869809231401629170,0x19f2e596db70b5f2,0,934,33072,0x8130,-32464,0,1232:LscriptPages/game/m0;->s(Ljava/lang/String;)V,0x1130 (unnamed)@scriptPages/game/m0->r,0x0130,000b0000000000002714000ce7a78de6a48de68a80e69caf010000000000002716000fe5bbbae980a0e5bc93e585b5e890a5010000000000002723000ce4ba94,........'......................'................…
15,51,2026-07-05 02:17:21.145,0,0,6264113312098633540,0x56ee99de606f4744,1869809232265655830,0x19f2e5970ef0b616,0,222,41312,0xa160,-24224,0,252a:LscriptPages/gameHD/i;->p(Ljava/lang/String;)V,0x3160,0x2160,01000400010c00000000000000bd02d0ffffffff0064000000000000000000a9023fffffffff001e012c00000000000000aa0240ffffffff00c8000000000000,".....................d...........?.......,......…"
16,52,2026-07-05 02:17:23.438,0,0,6264113312098633540,0x56ee99de606f4744,1869809234626000457,0x19f2e5979ba0b649,0,183,41232,0xa110,-24304,0,24ac:La0/a;->D1(Ljava/lang/String;)V,0x3110 REQ_HD_LIVEPACKET@scriptPages/PageMain->runLivePacket,0x2110,01000000000008a3aa00000000000f49c70000034b000002f20000000000000424000000000000000004000010ed2ae6020500000000056be76006000000000a,...............I....K...........$.............*.…
16,52,2026-07-05 02:17:23.438,1,0,6264113312098633540,0x56ee99de606f4744,1869809234627049035,0x19f2e5979bb0b64b,0,1394,57856,0xe200,-7680,0,1c34:LscriptPages/gameHD/a;->h(Ljava/lang/String;)V,0x7200,0x6200 houyedu@scriptPages/gameHD/a->f,0000000000000e772107ea0705031f02040500040300253530303030e9939ce992b1efbc8c313530303030e7b2aee9a39fefbc8c3230e78e89e79fb30007003f,.......w!.............%50000.........150000.....…
17,53,2026-07-05 02:17:43.415,0,0,6264113312098633540,0x56ee99de606f4744,1869809255574452070,0x19f2e59c7c40b766,0,183,41232,0xa110,-24304,0,24ac:La0/a;->D1(Ljava/lang/String;)V,0x3110 REQ_HD_LIVEPACKET@scriptPages/PageMain->runLivePacket,0x2110,01000000000008a3b100000000000f49cd0000034b000002f20000000000000424000000000000000004000010ecdcdc020500000000056be76c06000000000a,...............I....K...........$...............…
18,56,2026-07-05 02:18:03.735,0,0,6264113312098633540,0x56ee99de606f4744,1869809276892002536,0x19f2e5a172e0b8e8,0,183,41232,0xa110,-24304,0,24ac:La0/a;->D1(Ljava/lang/String;)V,0x3110 REQ_HD_LIVEPACKET@scriptPages/PageMain->runLivePacket,0x2110,01000000000008a3b800000000000f49d30000034b000002f20000000000000424000000000000000004000010ec8d72020500000000056be77b06000000000a,...............I....K...........$..............r…
19,58,2026-07-05 02:18:24.155,0,0,6264113312098633540,0x56ee99de606f4744,1869809298302876459,0x19f2e5a66f10bb2b,0,183,41232,0xa110,-24304,0,24ac:La0/a;->D1(Ljava/lang/String;)V,0x3110 REQ_HD_LIVEPACKET@scriptPages/PageMain->runLivePacket,0x2110,01000000000008a3bf00000000000f49da0000034b000002f20000000000000424000000000000000004000010ec3dae020500000000056be78606000000000a,...............I....K...........$.............=.…
19,58,2026-07-05 02:18:24.155,1,0,6264113312098633540,0x56ee99de606f4744,1869809298304973613,0x19f2e5a66f30bb2d,0,1394,57856,0xe200,-7680,0,1c34:LscriptPages/gameHD/a;->h(Ljava/lang/String;)V,0x7200,0x6200 houyedu@scriptPages/gameHD/a->f,0000000000000e772107ea0705031f02040500040300253530303030e9939ce992b1efbc8c313530303030e7b2aee9a39fefbc8c3230e78e89e79fb30007003f,.......w!.............%50000.........150000.....…
