opcode_hex,signed_opcode,if_off,body_end_off,first_handler,meaningful_calls,branch_read_sequence,request_candidate_minus_0x7000,request_candidate_minus_0x8000,all_calls
0x8170,-32400,0x079e,0x07ac,07a2:LscriptPages/game/n0;->P(Ljava/lang/String;)V,07a2:LscriptPages/game/n0;->P(Ljava/lang/String;)V,,0x1170,0x0170,07a2:LscriptPages/game/n0;->P(Ljava/lang/String;)V
0x8172,-32398,0x07b0,0x07be,07b4:LscriptPages/game/n0;->I(Ljava/lang/String;)V,07b4:LscriptPages/game/n0;->I(Ljava/lang/String;)V,,0x1172,0x0172,07b4:LscriptPages/game/n0;->I(Ljava/lang/String;)V
0x8174,-32396,0x07c2,0x07d0,07c6:LscriptPages/game/n0;->H(Ljava/lang/String;)V,07c6:LscriptPages/game/n0;->H(Ljava/lang/String;)V,,0x1174,0x0174,07c6:LscriptPages/game/n0;->H(Ljava/lang/String;)V
0x8176,-32394,0x07d4,0x07e2,07d8:LscriptPages/game/n0;->F(Ljava/lang/String;)V,07d8:LscriptPages/game/n0;->F(Ljava/lang/String;)V,,0x1176,0x0176,07d8:LscriptPages/game/n0;->F(Ljava/lang/String;)V
0x8177,-32393,0x07e6,0x07f4,07ea:LscriptPages/game/n0;->L(Ljava/lang/String;)V,07ea:LscriptPages/game/n0;->L(Ljava/lang/String;)V,,0x1177,0x0177,07ea:LscriptPages/game/n0;->L(Ljava/lang/String;)V
0x8178,-32392,0x07f8,0x0806,07fc:LscriptPages/game/n0;->Q(Ljava/lang/String;)V,07fc:LscriptPages/game/n0;->Q(Ljava/lang/String;)V,,0x1178,0x0178,07fc:LscriptPages/game/n0;->Q(Ljava/lang/String;)V
0x8179,-32391,0x080a,0x0818,080e:LscriptPages/game/q0;->P1(Ljava/lang/String;)V,080e:LscriptPages/game/q0;->P1(Ljava/lang/String;)V,,0x1179 di_请求中@scriptPages/game/q0->u0,0x0179,080e:LscriptPages/game/q0;->P1(Ljava/lang/String;)V
0x817a,-32390,0x081c,0x082a,0820:LscriptPages/game/n0;->R(Ljava/lang/String;)V,0820:LscriptPages/game/n0;->R(Ljava/lang/String;)V,,0x117a reqRankList_military@scriptPages/game/n0->N,0x017a,0820:LscriptPages/game/n0;->R(Ljava/lang/String;)V
0x8180,-32384,0x1878,0x1886,187c:LscriptPages/game/i0;->v(Ljava/lang/String;)V,187c:LscriptPages/game/i0;->v(Ljava/lang/String;)V,,0x1180 reqAchievementList@scriptPages/game/i0->o,0x0180,187c:LscriptPages/game/i0;->v(Ljava/lang/String;)V
0x8182,-32382,0x188a,0x1898,188e:LscriptPages/game/i0;->s(Ljava/lang/String;)V,188e:LscriptPages/game/i0;->s(Ljava/lang/String;)V,,0x1182,0x0182,188e:LscriptPages/game/i0;->s(Ljava/lang/String;)V
0x8184,-32380,0x189c,0x18aa,18a0:LscriptPages/game/i0;->u(Ljava/lang/String;)V,18a0:LscriptPages/game/i0;->u(Ljava/lang/String;)V,,0x1184 reqAchievementCont@scriptPages/game/i0->n,0x0184,18a0:LscriptPages/game/i0;->u(Ljava/lang/String;)V
0x8186,-32378,0x18ae,0x18bc,18b2:LscriptPages/game/i0;->z(Ljava/lang/String;)V,18b2:LscriptPages/game/i0;->z(Ljava/lang/String;)V,,0x1186 reqNicknameList@scriptPages/game/i0->r,0x0186,18b2:LscriptPages/game/i0;->z(Ljava/lang/String;)V
0x8188,-32376,0x18c0,0x18ce,18c4:LscriptPages/game/i0;->w(Ljava/lang/String;)V,18c4:LscriptPages/game/i0;->w(Ljava/lang/String;)V,,0x1188,0x0188,18c4:LscriptPages/game/i0;->w(Ljava/lang/String;)V
0x818a,-32374,0x18d2,0x18e0,18d6:LscriptPages/game/i0;->x(Ljava/lang/String;)V,18d6:LscriptPages/game/i0;->x(Ljava/lang/String;)V,,0x118a reqActivationUseGold@scriptPages/game/i0->q,0x018a,18d6:LscriptPages/game/i0;->x(Ljava/lang/String;)V
0x818b,-32373,0x18e4,0x18f2,18e8:LscriptPages/game/i0;->t(Ljava/lang/String;)V,18e8:LscriptPages/game/i0;->t(Ljava/lang/String;)V,,0x118b di_提示改变成就隐藏状态@scriptPages/game/i0->A,0x018b,18e8:LscriptPages/game/i0;->t(Ljava/lang/String;)V
0x8190,-32368,0x06d8,0x06e6,06dc:LscriptPages/game/s0;->Y(Ljava/lang/String;)V,06dc:LscriptPages/game/s0;->Y(Ljava/lang/String;)V,,0x1190 di_提示国数据@scriptPages/game/s0->G,0x0190,06dc:LscriptPages/game/s0;->Y(Ljava/lang/String;)V
0x8192,-32366,0x06ea,0x06f8,06ee:LscriptPages/game/s0;->X(Ljava/lang/String;)V,06ee:LscriptPages/game/s0;->X(Ljava/lang/String;)V,,0x1192 reqForceMapCity@scriptPages/game/s0->Y,0x0192,06ee:LscriptPages/game/s0;->X(Ljava/lang/String;)V
0x8200,-32256,0x0888,0x0896,088c:LscriptPages/game/q;->i(Ljava/lang/String;)V,088c:LscriptPages/game/q;->i(Ljava/lang/String;)V,,0x1200,0x0200,088c:LscriptPages/game/q;->i(Ljava/lang/String;)V
0x8201,-32255,0x089a,0x08a8,089e:LscriptPages/game/q;->j(Ljava/lang/String;)V,089e:LscriptPages/game/q;->j(Ljava/lang/String;)V,,0x1201,0x0201,089e:LscriptPages/game/q;->j(Ljava/lang/String;)V
0x8202,-32254,0x0840,0x084e,0844:LscriptPages/game/q;->r(Ljava/lang/String;)V,0844:LscriptPages/game/q;->r(Ljava/lang/String;)V,,0x1202,0x0202,0844:LscriptPages/game/q;->r(Ljava/lang/String;)V
0x8204,-32252,0x0852,0x0860,0856:LscriptPages/game/q;->b0(Ljava/lang/String;)V,0856:LscriptPages/game/q;->b0(Ljava/lang/String;)V,,0x1204 fiefItemUse@scriptPages/game/q->S,0x0204,0856:LscriptPages/game/q;->b0(Ljava/lang/String;)V
0x8206,-32250,0x0864,0x0872,0868:LscriptPages/game/q;->e(Ljava/lang/String;)V,0868:LscriptPages/game/q;->e(Ljava/lang/String;)V,,0x1206,0x0206,0868:LscriptPages/game/q;->e(Ljava/lang/String;)V
0x8208,-32248,0x08ac,0x08ba,08b0:LscriptPages/game/q;->f(Ljava/lang/String;)V,08b0:LscriptPages/game/q;->f(Ljava/lang/String;)V,,0x1208,0x0208,08b0:LscriptPages/game/q;->f(Ljava/lang/String;)V
0x820b,-32245,0x08be,0x08cc,08c2:LscriptPages/game/q;->Z1(Ljava/lang/String;)V,08c2:LscriptPages/game/q;->Z1(Ljava/lang/String;)V,,0x120b,0x020b,08c2:LscriptPages/game/q;->Z1(Ljava/lang/String;)V
0x820d,-32243,0x08d0,0x08de,08d4:LscriptPages/game/q;->c(Ljava/lang/String;)V,08d4:LscriptPages/game/q;->c(Ljava/lang/String;)V,,0x120d buildQueueAdd@scriptPages/game/q->K1; buildQueueAdd@scriptPages/game/q->w1,0x020d,08d4:LscriptPages/game/q;->c(Ljava/lang/String;)V
0x820f,-32241,0x082e,0x083c,0832:LscriptPages/game/q;->X(Ljava/lang/String;)V,0832:LscriptPages/game/q;->X(Ljava/lang/String;)V,,0x120f,0x020f,0832:LscriptPages/game/q;->X(Ljava/lang/String;)V
0x8210,-32240,0x0876,0x0884,087a:LscriptPages/game/q;->V(Ljava/lang/String;)V,087a:LscriptPages/game/q;->V(Ljava/lang/String;)V,,0x1210 fiefMoveAbleCitys@scriptPages/game/q->U,0x0210,087a:LscriptPages/game/q;->V(Ljava/lang/String;)V
0x8212,-32238,0x0972,0x0980,0976:LscriptPages/game/q;->W(Ljava/lang/String;)V,0976:LscriptPages/game/q;->W(Ljava/lang/String;)V,,0x1212 fiefMove@scriptPages/game/q->T,0x0212,0976:LscriptPages/game/q;->W(Ljava/lang/String;)V
0x8213,-32237,0x0984,0x0992,0988:LscriptPages/game/q;->Y(Ljava/lang/String;)V,0988:LscriptPages/game/q;->Y(Ljava/lang/String;)V,,0x1213,0x0213,0988:LscriptPages/game/q;->Y(Ljava/lang/String;)V
0x8214,-32236,0x0a4a,0x0a58,0a4e:LscriptPages/game/z;->O(Ljava/lang/String;)V,0a4e:LscriptPages/game/z;->O(Ljava/lang/String;)V,,0x1214 di_将名字长@scriptPages/game/z->Z0,0x0214,0a4e:LscriptPages/game/z;->O(Ljava/lang/String;)V
0x8215,-32235,0x0a5c,0x0a86,0a7c:Lo/a;->f6(I Ljava/lang/String;)V,0a7c:Lo/a;->f6(I Ljava/lang/String;)V,0a60:readByte(Ljava/lang/String;)B || 0a6c:readByte(Ljava/lang/String;)B,0x1215 reqLoadGenerals@o/a->a8,0x0215,0a60:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 0a6c:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 0a7c:Lo/a;->f6(I Ljava/lang/String;)V
0x8216,-32234,0x0b08,0x0b16,0b0c:LscriptPages/game/z;->B(Ljava/lang/String;)V,0b0c:LscriptPages/game/z;->B(Ljava/lang/String;)V,,0x1216,0x0216,0b0c:LscriptPages/game/z;->B(Ljava/lang/String;)V
0x8218,-32232,0x0b1a,0x0b28,0b1e:LscriptPages/game/z;->C(Ljava/lang/String;)V,0b1e:LscriptPages/game/z;->C(Ljava/lang/String;)V,,0x1218,0x0218,0b1e:LscriptPages/game/z;->C(Ljava/lang/String;)V
0x821b,-32229,0x0a26,0x0a34,0a2a:LscriptPages/game/z;->G(Ljava/lang/String;)V,0a2a:LscriptPages/game/z;->G(Ljava/lang/String;)V,,0x121b,0x021b,0a2a:LscriptPages/game/z;->G(Ljava/lang/String;)V
0x821d,-32227,0x0ad2,0x0ae0,0ad6:LscriptPages/game/z;->P(Ljava/lang/String;)V,0ad6:LscriptPages/game/z;->P(Ljava/lang/String;)V,,0x121d,0x021d,0ad6:LscriptPages/game/z;->P(Ljava/lang/String;)V
0x821f,-32225,0x0ae4,0x0af2,0ae8:LscriptPages/game/z;->I(Ljava/lang/String;)V,0ae8:LscriptPages/game/z;->I(Ljava/lang/String;)V,,0x121f,0x021f,0ae8:LscriptPages/game/z;->I(Ljava/lang/String;)V
0x8220,-32224,0x0af6,0x0b04,0afa:LscriptPages/game/z;->E(Ljava/lang/String;)V,0afa:LscriptPages/game/z;->E(Ljava/lang/String;)V,,0x1220,0x0220,0afa:LscriptPages/game/z;->E(Ljava/lang/String;)V
0x8222,-32222,0x0a9c,0x0aaa,0aa0:LscriptPages/game/z;->L(Ljava/lang/String;)V,0aa0:LscriptPages/game/z;->L(Ljava/lang/String;)V,,0x1222,0x0222,0aa0:LscriptPages/game/z;->L(Ljava/lang/String;)V
0x8223,-32221,0x0b3e,0x0b4c,0b42:LscriptPages/game/z;->L0(Ljava/lang/String;)V,0b42:LscriptPages/game/z;->L0(Ljava/lang/String;)V,,0x1223,0x0223,0b42:LscriptPages/game/z;->L0(Ljava/lang/String;)V
0x8224,-32220,0x0aae,0x0abc,0ab2:LscriptPages/game/z;->Q(Ljava/lang/String;)V,0ab2:LscriptPages/game/z;->Q(Ljava/lang/String;)V,,0x1224 generalAddPoint@scriptPages/game/z->U0,0x0224,0ab2:LscriptPages/game/z;->Q(Ljava/lang/String;)V
0x8225,-32219,0x0b50,0x0b5e,0b54:LscriptPages/game/z;->K0(Ljava/lang/String;)V,0b54:LscriptPages/game/z;->K0(Ljava/lang/String;)V,,0x1225 reqGeneralPracticeCancel@scriptPages/game/z->U0,0x0225,0b54:LscriptPages/game/z;->K0(Ljava/lang/String;)V
0x8226,-32218,0x0b2c,0x0b3a,0b30:LscriptPages/game/z;->S(Ljava/lang/String;)V,0b30:LscriptPages/game/z;->S(Ljava/lang/String;)V,,0x1226 generalWithSoldier@scriptPages/game/z->R,0x0226,0b30:LscriptPages/game/z;->S(Ljava/lang/String;)V
0x8228,-32216,0x0a38,0x0a46,0a3c:LscriptPages/game/z;->N(Ljava/lang/String;)V,0a3c:LscriptPages/game/z;->N(Ljava/lang/String;)V,,0x1228 (unnamed)@scriptPages/game/z->U0,0x0228,0a3c:LscriptPages/game/z;->N(Ljava/lang/String;)V
0x8229,-32215,0x0cdc,0x0cea,0ce0:LscriptPages/game/p;->M0(Ljava/lang/String;)V,0ce0:LscriptPages/game/p;->M0(Ljava/lang/String;)V,,0x1229 reqBathAddArmy@scriptPages/game/p->L0,0x0229,0ce0:LscriptPages/game/p;->M0(Ljava/lang/String;)V
0x822a,-32214,0x0c70,0x0c7e,0c74:LscriptPages/game/z;->P0(Ljava/lang/String;)V,0c74:LscriptPages/game/z;->P0(Ljava/lang/String;)V,,0x122a reqGeneralUseItem@scriptPages/game/z->O0,0x022a,0c74:LscriptPages/game/z;->P0(Ljava/lang/String;)V
0x822b,-32213,0x094e,0x095c,0952:LscriptPages/game/q;->Q1(Ljava/lang/String;)V,0952:LscriptPages/game/q;->Q1(Ljava/lang/String;)V,,0x122b generalWithSoldier@scriptPages/game/q->y1,0x022b,0952:LscriptPages/game/q;->Q1(Ljava/lang/String;)V
0x822c,-32212,0x0960,0x096e,0964:LscriptPages/game/q;->j1(Ljava/lang/String;)V,0964:LscriptPages/game/q;->j1(Ljava/lang/String;)V,,0x122c,0x022c,0964:LscriptPages/game/q;->j1(Ljava/lang/String;)V
0x822d,-32211,0x0996,0x09a4,099a:LscriptPages/game/q;->R(Ljava/lang/String;)V,099a:LscriptPages/game/q;->R(Ljava/lang/String;)V,,0x122d,0x022d,099a:LscriptPages/game/q;->R(Ljava/lang/String;)V
0x822f,-32209,0x09a8,0x09b6,09ac:LscriptPages/game/q;->Q(Ljava/lang/String;)V,09ac:LscriptPages/game/q;->Q(Ljava/lang/String;)V,,0x122f di_驱逐@scriptPages/game/q->E1,0x022f,09ac:LscriptPages/game/q;->Q(Ljava/lang/String;)V
0x8230,-32208,0x09ba,0x09c8,09be:LscriptPages/game/q;->e0(Ljava/lang/String;)V,09be:LscriptPages/game/q;->e0(Ljava/lang/String;)V,,0x1230,0x0230,09be:LscriptPages/game/q;->e0(Ljava/lang/String;)V
0x8231,-32207,0x09cc,0x09da,09d0:LscriptPages/game/q;->l1(Ljava/lang/String;)V,09d0:LscriptPages/game/q;->l1(Ljava/lang/String;)V,,0x1231 reqHurtSoldierCurePreInfo@scriptPages/game/q->k1,0x0231,09d0:LscriptPages/game/q;->l1(Ljava/lang/String;)V
0x8232,-32206,0x09de,0x09ec,09e2:LscriptPages/game/q;->g0(Ljava/lang/String;)V,09e2:LscriptPages/game/q;->g0(Ljava/lang/String;)V,,0x1232,0x0232,09e2:LscriptPages/game/q;->g0(Ljava/lang/String;)V
0x8233,-32205,0x0cca,0x0cd8,0cce:LscriptPages/game/q;->o1(Ljava/lang/String;)V,0cce:LscriptPages/game/q;->o1(Ljava/lang/String;)V,,0x1233 reqPrisonerCtrlInfo@scriptPages/game/q->n1,0x0233,0cce:LscriptPages/game/q;->o1(Ljava/lang/String;)V
0x8234,-32204,0x0c82,0x0c90,0c86:LscriptPages/game/q;->b1(Ljava/lang/String;)V,0c86:LscriptPages/game/q;->b1(Ljava/lang/String;)V,,0x1234,0x0234,0c86:LscriptPages/game/q;->b1(Ljava/lang/String;)V
0x8236,-32202,0x0ca6,0x0cb4,0caa:LscriptPages/game/q;->c1(Ljava/lang/String;)V,0caa:LscriptPages/game/q;->c1(Ljava/lang/String;)V,,0x1236,0x0236,0caa:LscriptPages/game/q;->c1(Ljava/lang/String;)V
0x8238,-32200,0x0cb8,0x0cc6,0cbc:LscriptPages/game/q;->d1(Ljava/lang/String;)V,0cbc:LscriptPages/game/q;->d1(Ljava/lang/String;)V,,0x1238,0x0238,0cbc:LscriptPages/game/q;->d1(Ljava/lang/String;)V
0x823b,-32197,0x0c94,0x0ca2,0c98:LscriptPages/game/q;->a1(Ljava/lang/String;)V,0c98:LscriptPages/game/q;->a1(Ljava/lang/String;)V,,0x123b,0x023b,0c98:LscriptPages/game/q;->a1(Ljava/lang/String;)V
0x823d,-32195,0x08e2,0x08f0,08e6:LscriptPages/game/q;->U1(Ljava/lang/String;)V,08e6:LscriptPages/game/q;->U1(Ljava/lang/String;)V,,0x123d,0x023d,08e6:LscriptPages/game/q;->U1(Ljava/lang/String;)V
0x823f,-32193,0x0906,0x0914,090a:LscriptPages/game/q;->Y1(Ljava/lang/String;)V,090a:LscriptPages/game/q;->Y1(Ljava/lang/String;)V,,0x123f,0x023f,090a:LscriptPages/game/q;->Y1(Ljava/lang/String;)V
0x8240,-32192,0x0918,0x0926,091c:LscriptPages/game/q;->V1(Ljava/lang/String;)V,091c:LscriptPages/game/q;->V1(Ljava/lang/String;)V,,0x1240,0x0240,091c:LscriptPages/game/q;->V1(Ljava/lang/String;)V
0x8242,-32190,0x092a,0x0938,092e:LscriptPages/game/q;->T1(Ljava/lang/String;)V,092e:LscriptPages/game/q;->T1(Ljava/lang/String;)V,,0x1242 soldierRecruitCancle@scriptPages/game/q->S1,0x0242,092e:LscriptPages/game/q;->T1(Ljava/lang/String;)V
0x8244,-32188,0x093c,0x094a,0940:LscriptPages/game/q;->X1(Ljava/lang/String;)V,0940:LscriptPages/game/q;->X1(Ljava/lang/String;)V,,0x1244,0x0244,0940:LscriptPages/game/q;->X1(Ljava/lang/String;)V
0x8246,-32186,0x09f0,0x09fe,09f4:LscriptPages/game/q;->h1(Ljava/lang/String;)V,09f4:LscriptPages/game/q;->h1(Ljava/lang/String;)V,,0x1246 reqFiefInfo@scriptPages/game/q->g1,0x0246,09f4:LscriptPages/game/q;->h1(Ljava/lang/String;)V
0x8248,-32184,0x08f4,0x0902,08f8:LscriptPages/game/q;->P1(Ljava/lang/String;)V,08f8:LscriptPages/game/q;->P1(Ljava/lang/String;)V,,0x1248 soldierAverageRecuit@scriptPages/game/q->O1,0x0248,08f8:LscriptPages/game/q;->P1(Ljava/lang/String;)V
0x824a,-32182,0x0a02,0x0a10,0a06:Lo/a;->O7(Ljava/lang/String;)V,0a06:Lo/a;->O7(Ljava/lang/String;)V,,0x124a,0x024a,0a06:Lo/a;->O7(Ljava/lang/String;)V
0x824b,-32181,0x0a14,0x0a22,0a18:Lo/a;->I6(Ljava/lang/String;)V,0a18:Lo/a;->I6(Ljava/lang/String;)V,,0x124b,0x024b,0a18:Lo/a;->I6(Ljava/lang/String;)V
0x824c,-32180,0x0ac0,0x0ace,0ac4:LscriptPages/game/z;->M(Ljava/lang/String;)V,0ac4:LscriptPages/game/z;->M(Ljava/lang/String;)V,,0x124c generalAddPoint@scriptPages/game/z->U0,0x024c,0ac4:LscriptPages/game/z;->M(Ljava/lang/String;)V
0x8250,-32176,0x0b74,0x0b82,0b78:LscriptPages/game/z;->F0(Ljava/lang/String;)V,0b78:LscriptPages/game/z;->F0(Ljava/lang/String;)V,,0x1250,0x0250,0b78:LscriptPages/game/z;->F0(Ljava/lang/String;)V
0x8252,-32174,0x0b62,0x0b70,0b66:LscriptPages/game/z;->D0(Ljava/lang/String;)V,0b66:LscriptPages/game/z;->D0(Ljava/lang/String;)V,,0x1252,0x0252,0b66:LscriptPages/game/z;->D0(Ljava/lang/String;)V
0x8254,-32172,0x0b86,0x0b94,0b8a:LscriptPages/game/z;->H0(Ljava/lang/String;)V,0b8a:LscriptPages/game/z;->H0(Ljava/lang/String;)V,,0x1254,0x0254,0b8a:LscriptPages/game/z;->H0(Ljava/lang/String;)V
0x8260,-32160,0x0bce,0x0bdc,0bd2:LscriptPages/game/z;->N0(Ljava/lang/String;)V,0bd2:LscriptPages/game/z;->N0(Ljava/lang/String;)V,,0x1260,0x0260,0bd2:LscriptPages/game/z;->N0(Ljava/lang/String;)V
0x8262,-32158,0x0be0,0x0bee,0be4:LscriptPages/game/z;->M0(Ljava/lang/String;)V,0be4:LscriptPages/game/z;->M0(Ljava/lang/String;)V,,0x1262 re_提示用技能书@scriptPages/game/z->e1,0x0262,0be4:LscriptPages/game/z;->M0(Ljava/lang/String;)V
0x8270,-32144,0x0c5e,0x0c6c,0c62:LscriptPages/game/z;->J0(Ljava/lang/String;)V,0c62:LscriptPages/game/z;->J0(Ljava/lang/String;)V,,0x1270,0x0270,0c62:LscriptPages/game/z;->J0(Ljava/lang/String;)V
0x8272,-32142,0x0bf2,0x0c00,0bf6:LscriptPages/game/z;->B0(Ljava/lang/String;)V,0bf6:LscriptPages/game/z;->B0(Ljava/lang/String;)V,,0x1272 reqFamousSearch@scriptPages/game/z->A0,0x0272,0bf6:LscriptPages/game/z;->B0(Ljava/lang/String;)V
0x8274,-32140,0x0c04,0x0c12,0c08:LscriptPages/game/z;->x0(Ljava/lang/String;)V,0c08:LscriptPages/game/z;->x0(Ljava/lang/String;)V,,0x1274,0x0274,0c08:LscriptPages/game/z;->x0(Ljava/lang/String;)V
0x8275,-32139,0x0c28,0x0c36,0c2c:LscriptPages/gameHD/g;->E(Ljava/lang/String;)V,0c2c:LscriptPages/gameHD/g;->E(Ljava/lang/String;)V,,0x1275 di_将领成长值已满@scriptPages/gameHD/g->p; di_将领成长值已满@scriptPages/gameHD/h->B,0x0275,0c2c:LscriptPages/gameHD/g;->E(Ljava/lang/String;)V
0x8276,-32138,0x0c4c,0x0c5a,0c50:LscriptPages/game/z;->z0(Ljava/lang/String;)V,0c50:LscriptPages/game/z;->z0(Ljava/lang/String;)V,,0x1276 reqFamousDetail@scriptPages/game/z->y0,0x0276,0c50:LscriptPages/game/z;->z0(Ljava/lang/String;)V
0x8278,-32136,0x0c16,0x0c24,0c1a:LscriptPages/game/z;->Q0(Ljava/lang/String;)V,0c1a:LscriptPages/game/z;->Q0(Ljava/lang/String;)V,,0x1278 (unnamed)@scriptPages/game/z->R0,0x0278,0c1a:LscriptPages/game/z;->Q0(Ljava/lang/String;)V
0x8280,-32128,0x0c3a,0x0c48,0c3e:Lo/a;->e6(Ljava/lang/String;)V,0c3e:Lo/a;->e6(Ljava/lang/String;)V,,0x1280 ChangeTeamNEW@scriptPages/gameHD/g->q,0x0280,0c3e:Lo/a;->e6(Ljava/lang/String;)V
0x8300,-32000,0x0d5e,0x0d86,0d6e:LscriptPages/game/k;->E0(Ljava/lang/String;)V,0d6e:LscriptPages/game/k;->E0(Ljava/lang/String;)V || 0d7c:LscriptPages/game/p;->P0(Ljava/lang/String;)V,0d62:readByte(Ljava/lang/String;)B,0x1300 reqCityFiefList@scriptPages/game/k->D0; reqCityFiefList@scriptPages/game/p->O0,0x0300,0d62:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 0d6e:LscriptPages/game/k;->E0(Ljava/lang/String;)V || 0d7c:LscriptPages/game/p;->P0(Ljava/lang/String;)V
0x8301,-31999,0x0d8a,0x0d98,0d8e:LscriptPages/game/k;->p1(Ljava/lang/String;)V,0d8e:LscriptPages/game/k;->p1(Ljava/lang/String;)V,,0x1301 di_联网请求数据中@scriptPages/game/k->W,0x0301,0d8e:LscriptPages/game/k;->p1(Ljava/lang/String;)V
0x8302,-31998,0x0e10,0x0e1e,0e14:LscriptPages/game/k;->J0(Ljava/lang/String;)V,0e14:LscriptPages/game/k;->J0(Ljava/lang/String;)V,,0x1302,0x0302,0e14:LscriptPages/game/k;->J0(Ljava/lang/String;)V
0x8303,-31997,0x0e22,0x0e30,0e26:LscriptPages/game/k;->o1(Ljava/lang/String;)V,0e26:LscriptPages/game/k;->o1(Ljava/lang/String;)V,,0x1303 di_联网请求数据中@scriptPages/game/k->w1,0x0303,0e26:LscriptPages/game/k;->o1(Ljava/lang/String;)V
0x8304,-31996,0x0d9c,0x0daa,0da0:LscriptPages/game/k;->r0(Ljava/lang/String;)V,0da0:LscriptPages/game/k;->r0(Ljava/lang/String;)V,,0x1304 reqCityGarrisonList@scriptPages/game/k->i1,0x0304,0da0:LscriptPages/game/k;->r0(Ljava/lang/String;)V
0x8305,-31995,0x0dc0,0x0dce,0dc4:LscriptPages/game/k;->s0(Ljava/lang/String;)V,0dc4:LscriptPages/game/k;->s0(Ljava/lang/String;)V,,0x1305,0x0305,0dc4:LscriptPages/game/k;->s0(Ljava/lang/String;)V
0x8306,-31994,0x0dae,0x0dbc,0db2:LscriptPages/game/k;->q0(Ljava/lang/String;)V,0db2:LscriptPages/game/k;->q0(Ljava/lang/String;)V,,0x1306,0x0306,0db2:LscriptPages/game/k;->q0(Ljava/lang/String;)V
0x8308,-31992,0x0dd2,0x0de0,0dd6:LscriptPages/game/k;->h1(Ljava/lang/String;)V,0dd6:LscriptPages/game/k;->h1(Ljava/lang/String;)V,,0x1308 reqModifyNotice@scriptPages/game/k->g1,0x0308,0dd6:LscriptPages/game/k;->h1(Ljava/lang/String;)V
0x830b,-31989,0x0cee,0x0cfc,0cf2:LscriptPages/game/k;->a(Ljava/lang/String;)V,0cf2:LscriptPages/game/k;->a(Ljava/lang/String;)V,,0x130b reqApplyFief@scriptPages/game/k->r1,0x030b,0cf2:LscriptPages/game/k;->a(Ljava/lang/String;)V
0x830d,-31987,0x0d00,0x0d0e,0d04:LscriptPages/game/k;->Y0(Ljava/lang/String;)V,0d04:LscriptPages/game/k;->Y0(Ljava/lang/String;)V,,0x130d,0x030d,0d04:LscriptPages/game/k;->Y0(Ljava/lang/String;)V
0x830f,-31985,0x0d4c,0x0d5a,0d50:LscriptPages/game/w;->b0(Ljava/lang/String;)V,0d50:LscriptPages/game/w;->b0(Ljava/lang/String;)V,,0x130f,0x030f,0d50:LscriptPages/game/w;->b0(Ljava/lang/String;)V
0x8310,-31984,0x0de4,0x0e0c,0df4:LscriptPages/game/w;->c0(Ljava/lang/String;)V,0df4:LscriptPages/game/w;->c0(Ljava/lang/String;)V || 0e02:LscriptPages/game/p;->X0(Ljava/lang/String;)V,0de8:readByte(Ljava/lang/String;)B,0x1310 reqRoleFiefList@scriptPages/game/p->g0; di_联网城池列表@scriptPages/game/w->q0,0x0310,0de8:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 0df4:LscriptPages/game/w;->c0(Ljava/lang/String;)V || 0e02:LscriptPages/game/p;->X0(Ljava/lang/String;)V
0x8312,-31982,0x0ea0,0x0eae,0ea4:LscriptPages/game/k;->G0(Ljava/lang/String;)V,0ea4:LscriptPages/game/k;->G0(Ljava/lang/String;)V,,0x1312 reqCityForceExpel@scriptPages/game/k->F0,0x0312,0ea4:LscriptPages/game/k;->G0(Ljava/lang/String;)V
0x8314,-31980,0x0eb2,0x0ec0,0eb6:LscriptPages/game/k;->H0(Ljava/lang/String;)V,0eb6:LscriptPages/game/k;->H0(Ljava/lang/String;)V,,0x1314,0x0314,0eb6:LscriptPages/game/k;->H0(Ljava/lang/String;)V
0x8316,-31978,0x0e7c,0x0e8a,0e80:LscriptPages/game/k;->K0(Ljava/lang/String;)V,0e80:LscriptPages/game/k;->K0(Ljava/lang/String;)V,,0x1316,0x0316,0e80:LscriptPages/game/k;->K0(Ljava/lang/String;)V
0x8318,-31976,0x0e8e,0x0e9c,0e92:LscriptPages/game/k;->M0(Ljava/lang/String;)V,0e92:LscriptPages/game/k;->M0(Ljava/lang/String;)V,,0x1318,0x0318,0e92:LscriptPages/game/k;->M0(Ljava/lang/String;)V
0x831b,-31973,0x0d12,0x0d20,0d16:LscriptPages/game/k;->x0(Ljava/lang/String;)V,0d16:LscriptPages/game/k;->x0(Ljava/lang/String;)V,,0x131b reqCityConnectCities@scriptPages/game/k->w0,0x031b,0d16:LscriptPages/game/k;->x0(Ljava/lang/String;)V
0x831c,-31972,0x1156,0x1164,115a:LscriptPages/game/p;->N0(Ljava/lang/String;)V,115a:LscriptPages/game/p;->N0(Ljava/lang/String;)V,,0x131c,0x031c,115a:LscriptPages/game/p;->N0(Ljava/lang/String;)V
