opcode_hex,signed_opcode,if_off,body_end_off,first_handler,meaningful_calls,branch_read_sequence,request_candidate_minus_0x7000,request_candidate_minus_0x8000,all_calls
0x8020,-32736,0x041e,0x042c,0422:LscriptPages/data/i;->z(Ljava/lang/String;)V,0422:LscriptPages/data/i;->z(Ljava/lang/String;)V,,0x1020,0x0020,0422:LscriptPages/data/i;->z(Ljava/lang/String;)V
0x8022,-32734,0x1a4c,0x1a5a,1a50:LscriptPages/data/g;->f4(Ljava/lang/String;)V,1a50:LscriptPages/data/g;->f4(Ljava/lang/String;)V,,0x1022 di_联网数据请求@scriptPages/data/g->c2,0x0022,1a50:LscriptPages/data/g;->f4(Ljava/lang/String;)V
0x8024,-32732,0x1b98,0x1ba6,1b9c:LscriptPages/game/a0;->g0(Ljava/lang/String;)V,1b9c:LscriptPages/game/a0;->g0(Ljava/lang/String;)V,,0x1024 reqFCMVerify@scriptPages/game/a0->f0,0x0024,1b9c:LscriptPages/game/a0;->g0(Ljava/lang/String;)V
0x8025,-32731,0x1c1e,0x1c2c,1c22:LscriptPages/game/b0;->O0(Ljava/lang/String;)V,1c22:LscriptPages/game/b0;->O0(Ljava/lang/String;)V,,0x1025 (unnamed)@scriptPages/PageMain->ExitGame,0x0025,1c22:LscriptPages/game/b0;->O0(Ljava/lang/String;)V
0x8100,-32512,0x0454,0x0462,0458:LscriptPages/game/q;->m1(Ljava/lang/String;)V,0458:LscriptPages/game/q;->m1(Ljava/lang/String;)V,,0x1100 propdec@scriptPages/game/q->B1; reqItemMallGoods@scriptPages/game/q->t0,0x0100,0458:LscriptPages/game/q;->m1(Ljava/lang/String;)V
0x8101,-32511,0x177c,0x178a,1780:LscriptPages/game/f0;->k(Ljava/lang/String;)V,1780:LscriptPages/game/f0;->k(Ljava/lang/String;)V,,0x1101,0x0101,1780:LscriptPages/game/f0;->k(Ljava/lang/String;)V
0x8102,-32510,0x0466,0x0474,046a:LscriptPages/game/q;->k(Ljava/lang/String;)V,046a:LscriptPages/game/q;->k(Ljava/lang/String;)V,,0x1102 buyMallGood@scriptPages/game/q->B1,0x0102,046a:LscriptPages/game/q;->k(Ljava/lang/String;)V
0x8103,-32509,0x0478,0x0486,047c:LscriptPages/game/k0;->Y(Ljava/lang/String;)V,047c:LscriptPages/game/k0;->Y(Ljava/lang/String;)V,,0x1103 reqUseItem@scriptPages/game/k0->X,0x0103,047c:LscriptPages/game/k0;->Y(Ljava/lang/String;)V
0x8104,-32508,0x0430,0x0450,0434:Lo/a;->q7(Ljava/lang/String;)V,0434:Lo/a;->q7(Ljava/lang/String;)V || 043a:LscriptPages/game/a0;->T()Z || 0446:LscriptPages/game/a0;->k0()V,,0x1104 (unnamed)@o/a->M6,0x0104,0434:Lo/a;->q7(Ljava/lang/String;)V || 043a:LscriptPages/game/a0;->T()Z || 0446:LscriptPages/game/a0;->k0()V
0x8110,-32496,0x048a,0x066a,04b2:LscriptPages/data/i;->b(Ljava/lang/String;)V,04b2:LscriptPages/data/i;->b(Ljava/lang/String;)V || 04b8:LscriptPages/data/c;->c(Ljava/lang/String;)V || 04be:LscriptPages/game/i;->v(Ljava/lang/String;)V || 04c4:LscriptPages/game/h0;->V(Ljava/lang/String; I Z)V || 04ca:LscriptPages/game/m0;->o(Ljava/lang/String;)V || 050c:Lo/a;->n1(Ljava/lang/String;)V || 0512:Lo/a;->l1(Ljava/lang/String;)V || 0520:LscriptPages/game/s0;->d(Ljava/lang/String;)V || 052e:LscriptPages/game/s0;->c(Ljava/lang/String;)V || 0540:LscriptPages/data/a;->B(Ljava/lang/String;)V || 0548:LscriptPages/data/a;->a(Ljava/lang/String;)V || 054e:LscriptPages/data/a;->b(Ljava/lang/String;)V || 055c:LscriptPages/data/b;->P(Z)V || 0582:LscriptPages/data/g;->I5(Z)V || 0590:LscriptPages/data/g;->C5(B)V || 059e:LscriptPages/data/g;->D5(Ljava/lang/String;)V || 05b6:LscriptPages/game/x;->a0(I)V || 05c4:LscriptPages/game/x;->b0(I)V || 05ca:LscriptPages/game/h0;->g(Ljava/lang/String;)V || 05d8:LscriptPages/gameHD/g;->s(B)V || 05e8:LscriptPages/gameHD/b;->z(S)V || 05ee:LscriptPages/data/g;->L5(Ljava/lang/String;)V || 0608:LscriptPages/data/g;->e(Ljava/lang/String;)V || 0642:LscriptPages/game/s0;->V([J [I)V || 0648:Lv/a;->H0(Ljava/lang/String;)V,04a6:readByte(Ljava/lang/String;)B || 04d0:readBoolean(Ljava/lang/String;)Z || 04dc:readBoolean(Ljava/lang/String;)Z || 04ee:readBoolean(Ljava/lang/String;)Z || 04fa:readBoolean(Ljava/lang/String;)Z || 0518:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0526:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0534:readBoolean(Ljava/lang/String;)Z || 0554:readBoolean(Ljava/lang/String;)Z || 0562:readLong(Ljava/lang/String;)J || 0570:readBoolean(Ljava/lang/String;)Z || 057a:readBoolean(Ljava/lang/String;)Z || 0588:readByte(Ljava/lang/String;)B || 0596:readUTF(Ljava/lang/String;)Ljava/lang/String; || 05a4:readByte(Ljava/lang/String;)B || 05ae:readShort(Ljava/lang/String;)S || 05bc:readShort(Ljava/lang/String;)S || 05d0:readByte(Ljava/lang/String;)B || 05de:readByte(Ljava/lang/String;)B || 05f4:readByte(Ljava/lang/String;)B || 060e:readInt(Ljava/lang/String;)I || 0624:readLong(Ljava/lang/String;)J || 0630:readInt(Ljava/lang/String;)I || 064e:readBoolean(Ljava/lang/String;)Z,0x1110,0x0110,048e:LscriptPages/PageMain;->resetLiveCount()V || 0494:LscriptPages/PageMain;->flushLiveTime()V || 049a:LscriptPages/PageMain;->getStatus()I || 04a6:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 04b2:LscriptPages/data/i;->b(Ljava/lang/String;)V || 04b8:LscriptPages/data/c;->c(Ljava/lang/String;)V || 04be:LscriptPages/game/i;->v(Ljava/lang/String;)V || 04c4:LscriptPages/game/h0;->V(Ljava/lang/String; I Z)V || 04ca:LscriptPages/game/m0;->o(Ljava/lang/String;)V || 04d0:LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 04dc:LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 04e2:LscriptAPI/baseAPI/BaseUtil;->getCurTime()J || 04ee:LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 04fa:LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 0500:LscriptAPI/baseAPI/BaseUtil;->getCurTime()J || 050c:Lo/a;->n1(Ljava/lang/String;)V || 0512:Lo/a;->l1(Ljava/lang/String;)V || 0518:LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String; || 0520:LscriptPages/game/s0;->d(Ljava/lang/String;)V || 0526:LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String; || 052e:LscriptPages/game/s0;->c(Ljava/lang/String;)V || 0534:LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 0540:LscriptPages/data/a;->B(Ljava/lang/String;)V || 0548:LscriptPages/data/a;->a(Ljava/lang/String;)V || 054e:LscriptPages/data/a;->b(Ljava/lang/String;)V || 0554:LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 055c:LscriptPages/data/b;->P(Z)V || 0562:LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J || 056a:LscriptPages/PageMain;->setCurTime(J)V || 0570:LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 057a:LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 0582:LscriptPages/data/g;->I5(Z)V || 0588:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 0590:LscriptPages/data/g;->C5(B)V || 0596:LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String; || 059e:LscriptPages/data/g;->D5(Ljava/lang/String;)V || 05a4:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 05ae:LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S || 05b6:LscriptPages/game/x;->a0(I)V || 05bc:LscriptAPI/baseAPI/BaseIO;->readShort(Ljava/lang/String;)S || 05c4:LscriptPages/game/x;->b0(I)V || 05ca:LscriptPages/game/h0;->g(Ljava/lang/String;)V || 05d0:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 05d8:LscriptPages/gameHD/g;->s(B)V || 05de:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 05e8:LscriptPages/gameHD/b;->z(S)V || 05ee:LscriptPages/data/g;->L5(Ljava/lang/String;)V || 05f4:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 0608:LscriptPages/data/g;->e(Ljava/lang/String;)V || 060e:LscriptAPI/baseAPI/BaseIO;->readInt(Ljava/lang/String;)I || 0624:LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J || 0630:LscriptAPI/baseAPI/BaseIO;->readInt(Ljava/lang/String;)I || 0642:LscriptPages/game/s0;->V([J [I)V || 0648:Lv/a;->H0(Ljava/lang/String;)V || 064e:LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 065a:LscriptAPI/baseAPI/BaseUtil;->getCurTime()J
