field,descriptor,writer,writer_code_off,write_offset,instruction,nearby_instructions
z.J1,I,LscriptPages/game/z;->b0(JIJI)V,0x3667f4,0x0020,"v1, LscriptPages/game/z;->J1 I","0x0008:sput v3, LscriptPages/game/z;->J1 I || 0x000c:const-wide/16 v3, -1 || 0x0010:cmp-long v5, v1, v3 || 0x0014:if-eqz v5, +008h || 0x0018:invoke-static v1, v2, LscriptPages/data/d;->F(J)I || 0x001e:move-result v1 || 0x0020:sput v1, LscriptPages/game/z;->J1 I || 0x0024:int-to-byte v1, v6 || 0x0026:sput-byte v1, LscriptPages/game/z;->K1 B || 0x002a:const/4 v2, 1 || 0x002c:if-nez v1, +013h"
z.N1,[J,LscriptPages/game/z;->W0()I,0x3582cc,0x0076,"v0, LscriptPages/game/z;->N1 [J","0x005e:const-string v7, ""di_没装备可换"" || 0x0062:const/16 v10, 2130 || 0x0066:if-eqz v0, +01ch || 0x006a:sget v0, LscriptPages/game/z;->J1 I || 0x006e:invoke-static v8, v0, LscriptPages/data/d;->f(I I)[J || 0x0074:move-result-object v0 || 0x0076:sput-object v0, LscriptPages/game/z;->N1 [J || 0x007a:array-length v0, v0 || 0x007c:if-gtz v0, +00bh || 0x0080:invoke-static v10, v7, v5, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x0086:move-result-object v0"
z.N1,[J,LscriptPages/game/z;->W0()I,0x3582cc,0x00ba,"v0, LscriptPages/game/z;->N1 [J","0x00a2:invoke-virtual v4, v0, Ljava/lang/String;->equals(Ljava/lang/Object;)Z || 0x00a8:move-result v0 || 0x00aa:if-eqz v0, +01bh || 0x00ae:sget v0, LscriptPages/game/z;->J1 I || 0x00b2:invoke-static v8, v0, LscriptPages/data/d;->f(I I)[J || 0x00b8:move-result-object v0 || 0x00ba:sput-object v0, LscriptPages/game/z;->N1 [J || 0x00be:array-length v0, v0 || 0x00c0:if-gtz v0, +00ah || 0x00c4:invoke-static v10, v7, v5, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0x00ca:move-result-object v0"
z.N1,[J,LscriptPages/game/z;->X(IJB)V,0x3662b4,0x0068,"v9, LscriptPages/game/z;->N1 [J","0x0052:move-wide v3, v10 || 0x0054:move v5, v12 || 0x0056:invoke-static/range v3 ... v8, LscriptPages/game/z;->b0(J I J I)V || 0x005c:sget v9, LscriptPages/game/z;->J1 I || 0x0060:invoke-static v0, v9, LscriptPages/data/d;->f(I I)[J || 0x0066:move-result-object v9 || 0x0068:sput-object v9, LscriptPages/game/z;->N1 [J || 0x006c:array-length v9, v9 || 0x006e:if-gtz v9, +00eh || 0x0072:const/16 v9, 2130 || 0x0076:const-string v10, ""di_没装备可换"""
z.N1,[J,LscriptPages/game/z;->b0(JIJI)V,0x3667f4,0x0070,"v1, LscriptPages/game/z;->N1 [J","0x0058:invoke-static LscriptPages/game/z;->e0()V || 0x005e:goto +eh || 0x0060:if-ne v1, v2, +00dh || 0x0064:sget v1, LscriptPages/game/z;->J1 I || 0x0068:invoke-static v2, v1, LscriptPages/data/d;->f(I I)[J || 0x006e:move-result-object v1 || 0x0070:sput-object v1, LscriptPages/game/z;->N1 [J || 0x0074:invoke-static LscriptPages/game/z;->d0()V || 0x007a:return-void "
z.z1,[J,LscriptPages/game/z;->D0(Ljava/lang/String;)V,0x36950c,0x004a,"v12, LscriptPages/game/z;->z1 [J","0x002c:invoke-static v3, v12, Lo/a;->f6(I Ljava/lang/String;)V || 0x0032:invoke-static v12, Lo/a;->V5(Ljava/lang/String;)V || 0x0038:invoke-static v12, Lo/a;->S5(Ljava/lang/String;)V || 0x003e:sget-wide v4, LscriptPages/game/z;->I1 J || 0x0042:invoke-static v4, v5, Lo/a;->z2(J)[J || 0x0048:move-result-object v12 || 0x004a:sput-object v12, LscriptPages/game/z;->z1 [J || 0x004e:sget-boolean v12, LscriptPages/game/k0;->a Z || 0x0052:const/4 v2, 3 || 0x0054:const/4 v4, 1 || 0x0056:if-eqz v12, +039h"
z.z1,[J,LscriptPages/game/z;->F0(Ljava/lang/String;)V,0x36976c,0x0028,"v2, LscriptPages/game/z;->z1 [J","0x0012:goto +5h || 0x0014:const/4 v0, 0 || 0x0016:invoke-static v0, v2, Lo/a;->f6(I Ljava/lang/String;)V || 0x001c:sget-wide v0, LscriptPages/game/z;->I1 J || 0x0020:invoke-static v0, v1, Lo/a;->z2(J)[J || 0x0026:move-result-object v2 || 0x0028:sput-object v2, LscriptPages/game/z;->z1 [J || 0x002c:return-void "
z.z1,[J,LscriptPages/game/z;->H0(Ljava/lang/String;)V,0x3697e8,0x004e,"v8, LscriptPages/game/z;->z1 [J","0x0032:if-ne v3, v0, +005h || 0x0036:invoke-static v4, v8, Lo/a;->f6(I Ljava/lang/String;)V || 0x003c:invoke-static v8, Lo/a;->V5(Ljava/lang/String;)V || 0x0042:sget-wide v5, LscriptPages/game/z;->I1 J || 0x0046:invoke-static v5, v6, Lo/a;->z2(J)[J || 0x004c:move-result-object v8 || 0x004e:sput-object v8, LscriptPages/game/z;->z1 [J || 0x0052:sget-boolean v8, LscriptPages/game/k0;->a Z || 0x0056:if-eqz v8, +06fh || 0x005a:sget v8, LscriptPages/game/k0;->b I || 0x005e:const/4 v3, 2"
z.z1,[J,LscriptPages/game/z;->Y0()I,0x35906c,0x0d9c,"v2, LscriptPages/game/z;->z1 [J","0x0d84:sget v3, LscriptPages/game/z;->M I || 0x0d88:aget-wide v9, v2, v3 || 0x0d8c:sput-wide v9, LscriptPages/game/z;->I1 J || 0x0d90:aget-wide v9, v2, v3 || 0x0d94:invoke-static v9, v10, Lo/a;->z2(J)[J || 0x0d9a:move-result-object v2 || 0x0d9c:sput-object v2, LscriptPages/game/z;->z1 [J || 0x0da0:if-nez v2, +014h || 0x0da4:sget-object v2, LscriptPages/game/z;->n [J || 0x0da8:sget v3, LscriptPages/game/z;->M I || 0x0dac:aget-wide v9, v2, v3"
z.z1,[J,LscriptPages/game/z;->u0(J)Z,0x356cfc,0x0050,"v0, LscriptPages/game/z;->z1 [J","0x003c:return v1 || 0x003e:add-int/lit8 v3, v3, 1 || 0x0042:goto -ch || 0x0044:sget-wide v3, LscriptPages/game/z;->I1 J || 0x0048:invoke-static v3, v4, Lo/a;->z2(J)[J || 0x004e:move-result-object v0 || 0x0050:sput-object v0, LscriptPages/game/z;->z1 [J || 0x0054:if-eqz v0, +015h || 0x0058:array-length v0, v0 || 0x005a:if-lez v0, +012h || 0x005e:const/4 v0, 0"
