method,code_off,baseio_reads,notable_calls
LscriptPages/game/z;->E0(J)V,0x369744,,0x0010:Lk/a;->r(Ljava/lang/String;Ljava/lang/String;JLjava/lang/String;Ljava/lang/String;S)V
LscriptPages/game/z;->C0(JJI)V,0x3694d4,,0x000e:LscriptAPI/baseAPI/BaseIO;->writeLong(Ljava/lang/String;J)V || 0x0014:LscriptAPI/baseAPI/BaseIO;->writeLong(Ljava/lang/String;J)V || 0x0020:Lk/a;->n(Ljava/lang/String;BLjava/lang/String;Ljava/lang/String;S)V
LscriptPages/game/z;->G0(JJI)V,0x3697ac,,0x000a:LscriptAPI/baseAPI/BaseIO;->writeLong(Ljava/lang/String;J)V || 0x0010:LscriptAPI/baseAPI/BaseIO;->writeLong(Ljava/lang/String;J)V || 0x001c:Lk/a;->n(Ljava/lang/String;BLjava/lang/String;Ljava/lang/String;S)V
LscriptPages/game/z;->F0(Ljava/lang/String;)V,0x36976c,0x0000:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B,0x000c:Lo/a;->c6(Ljava/lang/String;)V || 0x0016:Lo/a;->f6(ILjava/lang/String;)V || 0x0020:Lo/a;->z2(J)[J
LscriptPages/game/z;->D0(Ljava/lang/String;)V,0x36950c,0x0000:LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 0x0008:LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String; || 0x0010:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B,0x001e:Lo/a;->c6(Ljava/lang/String;)V || 0x0024:Lo/a;->a6(ILjava/lang/String;)V || 0x002c:Lo/a;->f6(ILjava/lang/String;)V || 0x0032:Lo/a;->V5(Ljava/lang/String;)V || 0x0038:Lo/a;->S5(Ljava/lang/String;)V || 0x0042:Lo/a;->z2(J)[J
LscriptPages/game/z;->H0(Ljava/lang/String;)V,0x3697e8,0x0006:LscriptAPI/baseAPI/BaseIO;->readBoolean(Ljava/lang/String;)Z || 0x000e:LscriptAPI/baseAPI/BaseIO;->readUTF(Ljava/lang/String;)Ljava/lang/String; || 0x0016:LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B,0x0024:Lo/a;->c6(Ljava/lang/String;)V || 0x002a:Lo/a;->a6(ILjava/lang/String;)V || 0x0036:Lo/a;->f6(ILjava/lang/String;)V || 0x003c:Lo/a;->V5(Ljava/lang/String;)V || 0x0046:Lo/a;->z2(J)[J
Lk/a;->n(Ljava/lang/String;BLjava/lang/String;Ljava/lang/String;S)V,0x21b178,,0x0000:LscriptAPI/baseAPI/BaseIO;->writeByte(Ljava/lang/String;B)V || 0x0014:Lo/a;->d0(S[B)Z
Lk/a;->r(Ljava/lang/String;Ljava/lang/String;JLjava/lang/String;Ljava/lang/String;S)V,0x21b250,,0x0006:LscriptAPI/baseAPI/BaseIO;->writeLong(Ljava/lang/String;J)V || 0x001a:Lo/a;->d0(S[B)Z
