opcode_hex,signed_opcode,if_off,likely_handler,calls
0x0003,3,0x015c,000160:invoke-static LscriptPages/data/g;->B0()Ljava/lang/String;,"000160:invoke-static LscriptPages/data/g;->B0()Ljava/lang/String; || 000168:invoke-virtual v9, v8, Ljava/lang/String;->equals(Ljava/lang/Object;)Z"
0x0047,71,0x002e,"000036:invoke-static v3, LscriptPages/game/b0;->K1(B)V","000036:invoke-static v3, LscriptPages/game/b0;->K1(B)V || 00003c:invoke-static LscriptPages/game/b0;->z0()V || 000042:invoke-static v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 00004a:invoke-static v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V"
0x0047,71,0x00a2,"0000aa:invoke-static v3, LscriptPages/game/b0;->K1(B)V","0000aa:invoke-static v3, LscriptPages/game/b0;->K1(B)V || 0000b0:invoke-static LscriptPages/game/b0;->z0()V || 0000b6:invoke-static v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 0000be:invoke-static v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V"
0x0047,71,0x011a,"00012c:invoke-static v3, LscriptPages/game/b0;->K1(B)V","00012c:invoke-static v3, LscriptPages/game/b0;->K1(B)V || 000132:invoke-static LscriptPages/game/b0;->z0()V || 000138:invoke-static v6, v5, v4, LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 000140:invoke-static v9, LscriptPages/game/r0;->d0(Ljava/lang/String;)V"
0x0047,71,0x0348,"00034c:invoke-static v11, v10, LscriptPages/game/b0;->L0(Ljava/lang/String; I)V","00034c:invoke-static v11, v10, LscriptPages/game/b0;->L0(Ljava/lang/String; I)V"
0x0047,71,0x037e,"000384:invoke-static v11, LscriptPages/game/n;->M0(Ljava/lang/String;)V","000384:invoke-static v11, LscriptPages/game/n;->M0(Ljava/lang/String;)V"
0x0047,71,0x1520,"001524:invoke-static v11, LscriptPages/game/b0;->S0(Ljava/lang/String;)V","001524:invoke-static v11, LscriptPages/game/b0;->S0(Ljava/lang/String;)V"
0x8000,-32768,0x023e,"00024e:invoke-static v10, LscriptPages/game/b0;->C0([B)V","000242:invoke-static LscriptPages/data/g;->G0()B || 00024e:invoke-static v10, LscriptPages/game/b0;->C0([B)V"
0x8001,-32767,0x028a,"00029c:invoke-static v9, v10, Lo/a;->V8(J)V","00028e:invoke-static v11, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 000294:invoke-static v11, LscriptAPI/baseAPI/BaseIO;->readLong(Ljava/lang/String;)J || 00029c:invoke-static v9, v10, Lo/a;->V8(J)V || 0002a2:invoke-static v11, Lo/a;->U(Ljava/lang/String;)V"
0x8002,-32766,0x02b0,"0002b4:invoke-static v10, LscriptPages/game/a0;->J([B)V","0002b4:invoke-static v10, LscriptPages/game/a0;->J([B)V"
0x8003,-32765,0x0278,"00027c:invoke-static v11, LscriptPages/game/b0;->i1(Ljava/lang/String;)V","00027c:invoke-static v11, LscriptPages/game/b0;->i1(Ljava/lang/String;)V"
0x8004,-32764,0x02c2,"0002c6:invoke-static v10, LscriptPages/game/a0;->S([B)V","0002c6:invoke-static v10, LscriptPages/game/a0;->S([B)V"
0x8005,-32763,0x0266,"00026a:invoke-static v11, LscriptPages/game/a0;->B0(Ljava/lang/String;)V","00026a:invoke-static v11, LscriptPages/game/a0;->B0(Ljava/lang/String;)V"
0x8006,-32762,0x02d4,"0002e4:invoke-static v10, LscriptPages/game/b0;->E0([B)V","0002d8:invoke-static LscriptPages/data/g;->G0()B || 0002e4:invoke-static v10, LscriptPages/game/b0;->E0([B)V"
0x8007,-32761,0x1a5e,"001a62:invoke-static v11, LscriptPages/game/b0;->N0(Ljava/lang/String;)V","001a62:invoke-static v11, LscriptPages/game/b0;->N0(Ljava/lang/String;)V"
0x8008,-32760,0x02fc,"000300:invoke-static v10, LscriptPages/game/s0;->y([B)V","000300:invoke-static v10, LscriptPages/game/s0;->y([B)V"
0x800a,-32758,0x030e,"00032a:invoke-static v11, LscriptPages/data/c;->j(Ljava/lang/String;)V","000312:invoke-static v11, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 00031a:invoke-static v11, LscriptAPI/baseAPI/BaseIO;->readByte(Ljava/lang/String;)B || 00032a:invoke-static v11, LscriptPages/data/c;->j(Ljava/lang/String;)V"
0x800b,-32757,0x0366,,00036a:invoke-static LscriptPages/PageMain;->getStatus()I || 000376:invoke-static LscriptPages/PageMain;->getStatus()I
0x800c,-32756,0x03b2,"0003b6:invoke-static v11, LscriptPages/game/n;->u2(Ljava/lang/String;)V","0003b6:invoke-static v11, LscriptPages/game/n;->u2(Ljava/lang/String;)V"
0x800d,-32755,0x03c4,"0003c8:invoke-static v10, LscriptPages/game/s0;->b([B)V","0003c8:invoke-static v10, LscriptPages/game/s0;->b([B)V"
