handler,code_off,direct_read_count,direct_read_sequence,direct_parser_calls
LscriptPages/game/s0;->y([B)V,0x40ec54,0,,000a:LscriptPages/PageMain;->getCurTime()J || 0012:LscriptPages/data/g;->u(J)V || 0018:LscriptPages/PageMain;->getStatus()I || 004c:LscriptPages/PageMain;->setStatus(I)V || 0052:LscriptPages/game/s0;->C()V || 0058:LscriptPages/game/a0;->m0()V || 0062:LscriptPages/PageMain;->getStatus()I || 0072:LscriptPages/game/b0;->k()V || 0080:LscriptPages/game/s0;->M()V || 0086:LscriptPages/game/i;->m()V || 00a8:Lo/a;->a3(I)J || 00b4:Lo/a;->s2()[J || 00c2:Lo/a;->a3(I)J || 00ca:LscriptPages/game/s0;->t(I J)I || 00d6:LscriptPages/game/q;->m(I)V || 00e0:LscriptPages/game/a0;->m0()V || 00f0:LscriptPages/PageMain;->setStatus(I)V || 00f6:LscriptPages/game/s0;->C()V || 0166:LscriptPages/data/g;->C3()V || 0170:LscriptPages/game/i;->m()V || 0190:LscriptPages/game/s0;->E()V || 0196:LscriptPages/game/s0;->I()V || 019c:LscriptPages/game/s0;->O()V || 01a2:LscriptPages/game/s0;->J()V || 01aa:LscriptPages/game/s0;->C()V || 01b8:Lo/a;->M6()V || 01ca:LscriptPages/game/i;->I(I)V
LscriptPages/data/c;->j(Ljava/lang/String;)V,0x261e5c,21,0000:readLong(Ljava/lang/String;)J || 000c:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0018:readInt(Ljava/lang/String;)I || 0024:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0030:readInt(Ljava/lang/String;)I || 003c:readLong(Ljava/lang/String;)J || 0048:readLong(Ljava/lang/String;)J || 0054:readInt(Ljava/lang/String;)I || 0060:readLong(Ljava/lang/String;)J || 006c:readLong(Ljava/lang/String;)J || 0078:readShort(Ljava/lang/String;)S || 0084:readShort(Ljava/lang/String;)S || 0090:readShort(Ljava/lang/String;)S || 009c:readShort(Ljava/lang/String;)S || 00a8:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00b4:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00c0:readLong(Ljava/lang/String;)J || 00cc:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00d8:readLong(Ljava/lang/String;)J || 00e4:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00f0:readLong(Ljava/lang/String;)J,
LscriptPages/game/b0;->L0(Ljava/lang/String; I)V,0x383bb4,14,007a:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0082:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00c6:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00d6:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00e6:readUTF(Ljava/lang/String;)Ljava/lang/String; || 00f6:readInt(Ljava/lang/String;)I || 0106:readInt(Ljava/lang/String;)I || 0116:readShort(Ljava/lang/String;)S || 0126:readShort(Ljava/lang/String;)S || 0136:readInt(Ljava/lang/String;)I || 0146:readLong(Ljava/lang/String;)J || 0152:readLong(Ljava/lang/String;)J || 0158:readInt(Ljava/lang/String;)I || 015e:readLong(Ljava/lang/String;)J,0174:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 017c:LscriptPages/game/r0;->d0(Ljava/lang/String;)V
LscriptPages/game/n;->H1(Ljava/lang/String; I)V,0x2ebd24,14,0000:readUTF(Ljava/lang/String;)Ljava/lang/String; || 000c:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0018:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0024:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0030:readUTF(Ljava/lang/String;)Ljava/lang/String; || 003c:readInt(Ljava/lang/String;)I || 0048:readInt(Ljava/lang/String;)I || 0054:readShort(Ljava/lang/String;)S || 0060:readShort(Ljava/lang/String;)S || 006c:readInt(Ljava/lang/String;)I || 0078:readLong(Ljava/lang/String;)J || 0084:readLong(Ljava/lang/String;)J || 008a:readInt(Ljava/lang/String;)I || 0096:readLong(Ljava/lang/String;)J,00aa:LscriptPages/game/a0;->D()V || 00c0:LscriptPages/game/n;->d0(J)V || 00d6:LscriptPages/game/n;->d0(J)V || 00ec:LscriptPages/game/n;->d0(J)V || 011c:LscriptPages/game/n;->d0(J)V || 012c:LscriptPages/game/n;->d0(J)V || 0144:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 014c:LscriptPages/game/r0;->d0(Ljava/lang/String;)V
LscriptPages/game/n;->M0(Ljava/lang/String;)V,0x2e999c,3,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String; || 0010:readLong(Ljava/lang/String;)J,002e:LscriptPages/data/g;->D0()Ljava/lang/String; || 0046:LscriptPages/data/g;->D0()Ljava/lang/String; || 005e:LscriptPages/data/g;->D0()Ljava/lang/String; || 007a:LscriptPages/game/n;->G1(J Ljava/lang/String; I)V || 0080:LscriptPages/data/i;->a()V || 0092:Lo/a;->d0(S [B)Z || 00a4:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 00ac:LscriptPages/game/r0;->c0(Ljava/lang/String;)V || 00ba:LscriptPages/game/a0;->u()V || 00c2:LscriptPages/PageMain;->setStatus(I)V || 00ca:LscriptPages/game/b0;->U()V || 00d4:LscriptPages/PageMain;->setStatus(I)V || 00dc:LscriptPages/game/r0;->a0(Ljava/lang/String; I)V
LscriptPages/game/b0;->D0(Ljava/lang/String;)V,0x3834fc,2,0006:readByte(Ljava/lang/String;)B || 000e:readUTF(Ljava/lang/String;)Ljava/lang/String;,001e:LscriptPages/game/b0;->L()[B || 0026:Lo/a;->d0(S [B)Z || 0036:LscriptPages/data/g;->I1(I Ljava/lang/String; [[Ljava/lang/String;)Ljava/lang/String; || 003e:LscriptPages/game/r0;->c0(Ljava/lang/String;)V || 0046:LscriptPages/game/r0;->d0(Ljava/lang/String;)V
LscriptPages/game/a0;->Q(Ljava/lang/String;)V,0x3918b4,2,0000:readByte(Ljava/lang/String;)B || 0008:readUTF(Ljava/lang/String;)Ljava/lang/String;,0038:Lo/a;->d0(S [B)Z || 0040:LscriptPages/game/a0;->N(I)V || 004c:LscriptPages/game/a0;->N(I)V
LscriptPages/game/n;->u2(Ljava/lang/String;)V,0x2ed6a0,11,000c:readByte(Ljava/lang/String;)B || 001c:readInt(Ljava/lang/String;)I || 0022:readLong(Ljava/lang/String;)J || 0028:readLong(Ljava/lang/String;)J || 002e:readShort(Ljava/lang/String;)S || 0036:readShort(Ljava/lang/String;)S || 003c:readShort(Ljava/lang/String;)S || 0042:readShort(Ljava/lang/String;)S || 004c:readLong(Ljava/lang/String;)J || 0058:readInt(Ljava/lang/String;)I || 0072:readLong(Ljava/lang/String;)J,
LscriptPages/game/s0;->b([B)V,0x40b000,0,,
LscriptPages/game/s0;->R(Ljava/lang/String;)V,0x40ff68,3,0000:readByte(Ljava/lang/String;)B || 0008:readInt(Ljava/lang/String;)I || 0010:readInt(Ljava/lang/String;)I,0026:LscriptPages/game/s0;->Q(I)V || 0060:LscriptPages/game/s0;->D(I I)V
