file,direction,opcode_hex,payload_len,payload_hex,dm,gm,client_time,outer_index,inner_index,server_time,unique,obfuscated,flag,payload_prefix_hex
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/016_2026-07-05_021723_438_req.bin,request,0x6200,0,,6264113312098633540,0,1783189043170,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/017_2026-07-05_021743_415_req.bin,request,0x3110,2,0100,6264113312098633540,0,1783189063434,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/018_2026-07-05_021803_735_req.bin,request,0x3110,2,0100,6264113312098633540,0,1783189083636,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/019_2026-07-05_021824_155_req.bin,request,0x3110,2,0100,6264113312098633540,0,1783189103951,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/019_2026-07-05_021824_155_req.bin,request,0x6200,0,,6264113312098633540,0,1783189103951,,,,,,,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/000_2026-07-05_021619_964_resp.bin,response,0x8001,19,,,,,0,0,6264113312098633540,1869809168105386018,0,0,0056ee99de606f47440000019f2e5881eb011b
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/000_2026-07-05_021619_964_resp.bin,response,0x800a,278,,,,,0,1,6264113312098633540,1869809168105386019,0,0,000000000000000000010006e5a4a7e6b189000000780003e6b1890000001900
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/000_2026-07-05_021619_964_resp.bin,response,0x8146,249,,,,,0,2,6264113312098633540,1869809168105386020,0,0,2600060016001700180019001a01640101001e02010014030100130406001000
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/000_2026-07-05_021619_964_resp.bin,response,0x8004,11397,,,,,0,3,6264113312098633540,1869809168105386021,0,0,00000000019f2e5881eb00000000000002fc0009e4b89ce696b9e7be8e003400
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/000_2026-07-05_021619_964_resp.bin,response,0xa129,4,,,,,0,4,6264113312098633540,1869809168105386022,0,0,00000063
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/000_2026-07-05_021619_964_resp.bin,response,0x8280,282,,,,,0,5,6264113312098633540,1869809168105386023,0,0,0105000007e7bc96e7bb843105000000000000686b9901ffffffffffffffff02
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/001_2026-07-05_021620_628_resp.bin,response,0x8104,618,,,,,0,0,6264113312098633540,1869809168800591934,0,0,00000000000000000000000000000424002b000800010000000000000000006e
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/001_2026-07-05_021620_628_resp.bin,response,0x8113,0,,,,,1,0,6264113312098633540,1869809168800591936,0,0,
/Users/huangchangwei/Desktop/gitSpaceC/Toy/帝王三国/reverse_cases/apk-sanguo-diwanglianmeng-166/captures/mitm/game_capture_20260705_020959/extracted/002_2026-07-05_021621_161_resp.bin,response,0x8008,25344,,,,,0,0,6264113312098633540,1869809169353191504,0,0,2ee00e100140014002020800c800c8090f100e890e910e940e950ef80efa0efd
